time_epoch,time_server,open,high,low,close,tick_volume,spread,real_volume
1657548000,2022.07.11 14:00:00,137.079,137.385,137.041,137.34,6723,11,0
1657551600,2022.07.11 15:00:00,137.34,137.686,137.31,137.584,16413,11,0
1657555200,2022.07.11 16:00:00,137.584,137.748,137.31,137.433,17520,11,0
1657558800,2022.07.11 17:00:00,137.433,137.544,137.3,137.444,12069,11,0
1657562400,2022.07.11 18:00:00,137.444,137.477,137.268,137.283,7726,11,0
1657566000,2022.07.11 19:00:00,137.283,137.427,137.281,137.393,4326,11,0
1657569600,2022.07.11 20:00:00,137.394,137.417,137.308,137.308,2867,11,0
1657573200,2022.07.11 21:00:00,137.308,137.345,137.285,137.29,3453,11,0
1657576800,2022.07.11 22:00:00,137.29,137.452,137.25,137.376,4087,11,0
1657580400,2022.07.11 23:00:00,137.376,137.443,137.365,137.422,1725,11,0
1657584000,2022.07.12 00:00:00,137.422,137.438,137.391,137.421,455,17,0
1657587600,2022.07.12 01:00:00,137.424,137.431,137.309,137.344,3302,11,0
1657591200,2022.07.12 02:00:00,137.345,137.423,137.271,137.41,3870,11,0
1657594800,2022.07.12 03:00:00,137.41,137.442,137.132,137.223,17188,11,0
1657598400,2022.07.12 04:00:00,137.223,137.339,137.023,137.065,18253,11,0
1657602000,2022.07.12 05:00:00,137.065,137.198,137.06,137.129,10548,11,0
1657605600,2022.07.12 06:00:00,137.129,137.239,137.1,137.238,6607,11,0
1657609200,2022.07.12 07:00:00,137.238,137.332,137.237,137.287,5715,11,0
1657612800,2022.07.12 08:00:00,137.287,137.53,137.26,137.434,9388,11,0
1657616400,2022.07.12 09:00:00,137.434,137.518,137.164,137.37,12670,11,0
1657620000,2022.07.12 10:00:00,137.37,137.442,137.172,137.336,13387,11,0
1657623600,2022.07.12 11:00:00,137.336,137.339,137.124,137.206,9211,11,0
1657627200,2022.07.12 12:00:00,137.206,137.228,136.862,136.891,9549,11,0
1657630800,2022.07.12 13:00:00,136.891,136.979,136.789,136.841,7629,11,0
1657634400,2022.07.12 14:00:00,136.841,136.856,136.618,136.774,11858,11,0
1657638000,2022.07.12 15:00:00,136.774,136.848,136.643,136.661,10983,11,0
1657641600,2022.07.12 16:00:00,136.661,136.718,136.557,136.578,11717,11,0
1657645200,2022.07.12 17:00:00,136.578,136.701,136.465,136.641,14297,11,0
1657648800,2022.07.12 18:00:00,136.641,136.734,136.568,136.672,6510,11,0
