time_epoch,time,role,total_matured_observations,experts_at_256_maturity,current_valid_experts_with_score,current_positive_experts,selected_expert,selected_score_R,slot_available,accepted,rejection,settled_actual_balance_usd
1704210300,2024-01-02T15:45:00,ONLINE_HL32,944512,30,28,8,US30_H16_MOMENTUM,0.1806903324057001,1,1,,96.41540624999905
1704210300,2024-01-02T15:45:00,ONLINE_HL96,944512,30,28,1,US30_H16_MOMENTUM,0.025182124833431317,1,1,,98.71160937500001
1704210300,2024-01-02T15:45:00,ONLINE_HL256,944512,30,28,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704211200,2024-01-02T16:00:00,ONLINE_HL32,944542,30,26,9,,,0,0,GLOBAL_SLOT_OCCUPIED,96.41540624999905
1704211200,2024-01-02T16:00:00,ONLINE_HL96,944542,30,26,1,,,0,0,GLOBAL_SLOT_OCCUPIED,98.71160937500001
1704211200,2024-01-02T16:00:00,ONLINE_HL256,944542,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704212100,2024-01-02T16:15:00,ONLINE_HL32,944572,30,30,7,,,0,0,GLOBAL_SLOT_OCCUPIED,96.41540624999905
1704212100,2024-01-02T16:15:00,ONLINE_HL96,944572,30,30,1,,,0,0,GLOBAL_SLOT_OCCUPIED,98.71160937500001
1704212100,2024-01-02T16:15:00,ONLINE_HL256,944572,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704213000,2024-01-02T16:30:00,ONLINE_HL32,944602,30,28,6,,,0,0,GLOBAL_SLOT_OCCUPIED,96.41540624999905
1704213000,2024-01-02T16:30:00,ONLINE_HL96,944602,30,28,1,,,0,0,GLOBAL_SLOT_OCCUPIED,98.71160937500001
1704213000,2024-01-02T16:30:00,ONLINE_HL256,944602,30,28,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704213900,2024-01-02T16:45:00,ONLINE_HL32,944630,30,30,6,US30_H16_MOMENTUM,0.08018145720641262,1,1,,94.74571874999906
1704213900,2024-01-02T16:45:00,ONLINE_HL96,944630,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,96.76364062500001
1704213900,2024-01-02T16:45:00,ONLINE_HL256,944630,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704214800,2024-01-02T17:00:00,ONLINE_HL32,944656,30,28,6,US30_H4_MOMENTUM,0.10952861785373555,1,1,,93.00178124999888
1704214800,2024-01-02T17:00:00,ONLINE_HL96,944656,30,28,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,96.76364062500001
1704214800,2024-01-02T17:00:00,ONLINE_HL256,944656,30,28,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704215700,2024-01-02T17:15:00,ONLINE_HL32,944686,30,30,5,,,0,0,GLOBAL_SLOT_OCCUPIED,93.00178124999888
1704215700,2024-01-02T17:15:00,ONLINE_HL96,944686,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,96.76364062500001
1704215700,2024-01-02T17:15:00,ONLINE_HL256,944686,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704216600,2024-01-02T17:30:00,ONLINE_HL32,944714,30,30,3,,,0,0,GLOBAL_SLOT_OCCUPIED,93.00178124999888
1704216600,2024-01-02T17:30:00,ONLINE_HL96,944714,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,96.76364062500001
1704216600,2024-01-02T17:30:00,ONLINE_HL256,944714,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
