"source_year","source_entry","Market_and_Exchange_Names","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","Open_Interest_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","FutOnly_or_Combined"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-08-29","209742","265968","50504","77544","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-09-05","124603","93933","8272","23487","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-09-05","209742","274701","55291","82511","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-09-12","124603","102910","9981","24318","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-09-12","209742","303321","48275","77439","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-09-19","124603","86992","10362","14737","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-09-19","209742","236252","45970","65430","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-09-26","124603","92551","13959","22281","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-09-26","209742","241018","41194","69386","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-10-03","124603","100823","16738","34063","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-10-03","209742","254924","45271","65202","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-10-10","124603","94607","8731","34058","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-10-10","209742","256528","42670","60851","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-10-17","124603","96554","9806","32436","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-10-17","209742","256786","45427","59306","FutOnly"
